File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,[],[],[]
code_18.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,[],[],[]
code_13.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['5', '801', '943', '15', '950', '460', '797', '822', '0', '14', '3', '485', '17', '499', '499', '10', '0', '463', '869']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
