File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['462', '419384791', '1', '288038374', '528079125', '166650', '1', '462', '15764140', '851547002', '661242995', '830374553', '737523266', '341834626', '528', '635968660', '1', '2', '942148112', '475765783', '1', '15997414', '847978220', '267089167', '282685662', '1', '34716', '606272242', '220163062', '1623160', '114409792', '761312029', '1', '4', '786473469', '6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['924', '838769582', '2', '576076748', '57913897', '333300', '2', '924', '31528280', '704849651', '324241637', '662504753', '476802179', '683669252', '1056', '273692967', '2', '4', '886051871', '951531566', '2', '31994828', '697712087', '534178334', '565371324', '2', '69432', '214300131', '440326124', '3246320', '228819584', '524379705', '2', '8', '574702585', '12']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,[],[],[]
code_16.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['410488781', '405892914', '2', '537372141', '528358748', '102709892', '2', '410488781', '441476189', '852043848', '162039767', '19198844', '529841645', '610082967', '924840078', '714850826', '2', '4', '776038861', '484668651', '2', '156664150', '428716730', '117117244', '405946621', '2', '547324696', '133074136', '765586606', '567509571', '657448292', '423778560', '2', '16', '921545528', '64']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['4096', '670233272', '545460282', '114966662', '191006845', '535265813', '150994942', '4096', '566371728', '924940450', '537692343', '521588420', '537143534', '466025955', '209715183', '370644411', '2', '8', '481931520', '527847872', '75497471', '299771973', '80721227', '32990492', '704627253', '545460282', '145142697', '413966187', '580117523', '838860732', '657620395', '978853743', '288489165', '32', '235113474', '32']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_1.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['924', '838769582', '2', '576076748', '57913897', '333300', '2', '924', '31528280', '704849651', '324241637', '662504753', '476802179', '683669252', '1056', '273692967', '2', '4', '886051871', '951531566', '2', '31994828', '697712087', '534178334', '565371324', '2', '69432', '214300131', '440326124', '3246320', '228819584', '524379705', '2', '8', '574702585', '12']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['352032073', '16232596', '193140126', '70364972', '428380240', '472915822', '349157251', '942109895', '668517668', '341487771', '242597654', '651892747', '45015823', '694149056', '21393278', '809969309', '1', '9', '112773208', '543061423', '1', '668410814', '507467968', '378633801', '630984365', '1', '817112772', '347701322', '592160684', '504620854', '339169694', '708071073', '1', '25', '35329259', '1000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
