File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_18.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_13.py,0.98989898989899,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_4.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_17.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_23.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_0.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_16.py,0.9797979797979798,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_22.py,0.98989898989899,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_1.py,0.98989898989899,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","['11', '39', '296', '328', '40', '', '313', '46', '380', '16', '312', '100000', '324', '265', '14', '287', '298', '9', '34', '19', '45', '300', '328', '42', '317', '50', '379', '18', '310', '323', '265', '10', '17', '12', '22', '49', '307', '326', '40', '313', '43', '374', '16', '320', '270', '11', '302', '44', '303', '340', '309', '35', '392', '327', '335', '262', '13', '298', '336', '319', '38', '395', '329', '338', '295', '14', '52', '316', '37', '398', '331', '300', '300', '323', '300', '17', '10', '19', '42', '11', '300', '13', '12', '18', '44', '303', '43', '262', '12', '300', '14', '295', '338', '42', '336', '262', '10', '4', '2']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
