File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,1.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_23.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['3\n5', '13\n5', '13\n20', '1\n5', '1\n20', '0\n20', '21\n20', '21\n0', '11\n0', '11\n5', '3\n5', '13\n0', '1\n104', '1\n61', '1\n1640', '205\n0', '11\n20', '3\n20', '7\n0', '0\n104', '0\n51', '1\n1', '341\n0', '205\n5', '11\n2', '1\n104', '3\n1', '14762\n0', '0\n51', '10761680\n0', '0\n13107', '198073707\n0', '198073707\n0', '0\n13107', '0\n239945', '0\n1111', '21\n5', '51\n20', '0\n11', '1\n0', '21\n182', '43\n0', '205\n1', '7\n5', '0\n61', '1\n2', '0\n185', '21\n1', '3277\n0', '11\n104', '0\n0', '21\n85', '61\n5', '205\n2', '2\n104', '3\n0', '14762\n1', '11\n10', '1\n1640', '0\n205', '10761680\n85', '1\n13107', '198073707\n85', '0\n838861', '347990061\n0', '706704961\n0', '0\n1864135', '0\n15698244', '0\n5', '21\n2604', '2731\n0', '13\n1', '7\n11', '21\n51', '21\n11', '209715\n0', '61\n104', '20\n0', '0\n0', '21\n13107', '61\n85', '205\n3', '2\n521', '14762\n3', '171\n10', '10761680\n43', '2\n13107', '0\n85', '5\n838861', '187194725\n0', '181097024\n0', '0\n160180664', '0\n51828151', '11\n2604', '2731\n1', '3\n0', '13\n3', '182\n11', '171\n51', '0\n9090909', '21\n13', '3\n5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['4\n6', '12\n6', '12\n21', '0\n6', '0\n21', '1\n21', '22\n21', '22\n1', '10\n1', '10\n6', '2\n6', '12\n1', '0\n105', '0\n60', '0\n1641', '204\n1', '10\n21', '2\n21', '6\n1', '1\n105', '0\n52', '0\n0', '342\n1', '204\n6', '10\n3', '2\n105', '2\n0', '14763\n1', '1\n52', '10761681\n1', '1\n13108', '198073708\n1', '198073708\n0', '0\n13108', '0\n239946', '0\n1110', '22\n6', '52\n21', '0\n10', '0\n1', '22\n183', '42\n1', '204\n2', '6\n6', '1\n60', '0\n3', '0\n186', '22\n0', '3276\n1', '10\n105', '1\n0', '22\n86', '60\n6', '204\n3', '3\n105', '2\n1', '14763\n0', '10\n11', '2\n1641', '1\n204', '10761681\n86', '2\n13108', '198073708\n86', '1\n838860', '347990060\n1', '706704962\n0', '0\n1864136', '0\n15698245', '1\n6', '22\n2605', '2730\n1', '12\n2', '6\n10', '22\n52', '22\n10', '209716\n1', '60\n105', '21\n1', '1\n1', '22\n13108', '60\n86', '204\n4', '3\n520', '14763\n2', '170\n11', '10761681\n42', '3\n13108', '0\n86', '6\n838860', '187194724\n1', '181097023\n0', '0\n160180665', '0\n51828150', '10\n2605', '2730\n0', '4\n1', '12\n4', '183\n10', '170\n52', '0\n9090910', '22\n12', '4\n6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
