File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.3114754098360656,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['213', '127', '9', '47', '12', '14', '0', '127', '10', '19', '3', '9', '0', '124', '14', '7', '140', '2', '151', '135', '126', '131', '158', '147', '121', '15', '121', '143', '213', '19', '127', '127', '9', '19', '9', '124', '17', '0', '0', '0', '137', '9', '9', '0', '15', '137', '8', '122', '147', '17', '9', '14', '0', '145', '0', '119', '22', '0', '0', '5', '2']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]"
code_18.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_27.py,0.21311475409836064,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['89', '43', '0', '0', '4', '4', '0', '43', '5', '7', '1', '0', '0', '42', '4', '3', '50', '1', '55', '47', '43', '45', '59', '53', '40', '4', '41', '50', '89', '7', '43', '43', '0', '7', '0', '42', '7', '0', '0', '0', '47', '0', '0', '0', '6', '47', '4', '41', '53', '7', '0', '4', '0', '51', '0', '39', '10', '0', '0', '1', '0']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
code_13.py,0.16393442622950818,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['17', '20', '4', '23', '2', '3', '0', '20', '0', '2', '0', '4', '0', '20', '3', '0', '20', '0', '20', '20', '20', '20', '20', '20', '20', '3', '19', '21', '17', '2', '20', '20', '4', '2', '4', '20', '1', '0', '0', '0', '21', '4', '4', '0', '1', '21', '0', '20', '20', '1', '4', '3', '0', '21', '0', '20', '1', '0', '0', '1', '1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
code_4.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_17.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_23.py,0.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.26229508196721313,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['90', '88', '0', '48', '10', '9', '0', '88', '5', '9', '3', '0', '0', '87', '9', '5', '94', '4', '96', '88', '88', '90', '101', '95', '87', '9', '87', '72', '94', '9', '88', '88', '0', '9', '0', '87', '11', '0', '0', '0', '71', '0', '0', '0', '12', '70', '5', '87', '94', '13', '0', '9', '0', '71', '0', '87', '12', '0', '0', '4', '3']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
code_16.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
