File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['3', '7', '1', '1', '1', '5', '4', '7', '4', '7', '1', '1', '5', '1', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_28.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['3', '6', '0', '0', '0', '6', '4', '10', '4', '10', '0', '0', '6', '0', '10']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_38.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['4', '7', '1', '1', '1', '7', '5', '11', '5', '11', '1', '1', '7', '1', '11']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', '0', '0', '0', '6', '3', '10', '3', '10', '0', '0', '6', '0', '9']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_42.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_13.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['-4611686018427387904', '-4611686018427387904', '-9223372036854775807', '-9223372036854775807', '-9223362813492', '-4611686018427387904', '-4611686018427387904', '-838488366986797801', '-4611686018427387904', '-838488366986797801', '-9223372036854775807', '-9223362813492', '-4611686018427387904', '-9223372036854775807', '-838488366986797801']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_37.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', 'inf', 'inf', 'inf', '0', '0', '0', '0', '0', 'inf', 'inf', '0', 'inf', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
