File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['9', '9', '9', '9', '9', '', '9', '9', 'INTERNAL ERROR OR TIMEOUT', '9', '9', '9', '9', '9', '9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['4', '4', '2', '7', '18', '', '3', '3', '4', '4', '5', '5', '8', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['95', '995', '99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995', '999995', '999999995', '299999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999985', '99999999995', '95', 'INTERNAL ERROR OR TIMEOUT', '', '995', '9995', '95', '95', '95']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['0', '0', '1', '1', '1', '1', '1', '0', '7', '1', '1', '1', '1', '0', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.13333333333333333,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['1', '1', '3', '10', '35', '320', '2', '1', '7', '7', '9', '9', '1', '1', '3']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['102', '1024', '91999999999999996023593083865871061734426099682443650187249064185289457198892758490551925295298904064', '87204500', '98422731820311440', '27047013008655360168470523274398838179754215343472270904801413299500826946345542067328248992273059657442656216916054470985972743160201633456946385590583033856', '20000000000', '10', 'INTERNAL ERROR OR TIMEOUT', '', '2399950', '23999500', '7610', '1', '100']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
