File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['0', '0', '0', '0', '0', '2', '1', '1', '0', '0', '1', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_19.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['-16\n0', '237562\n0', '38\n0', '5011328\n0', '590072\n0', '-2\n0', '0\n0', '0\n0', '232156\n0', 'INTERNAL ERROR OR TIMEOUT', '0\n0', '-2\n0', '5011328\n0', '5011328\n0', '10\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.2,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '0', '0', '', '', '0', '', '', '', '']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
code_39.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.2,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['0', '', '', '', '', '0', '', '0', '', '', '0', '0', '', '', '0']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
code_38.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.2,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '0', '', '0', '', '', '0', '0', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
code_27.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.2,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '2', '0', '0', '', '1854631458', '0', '', '', '', '']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
