File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['6'],['42'],[0]
code_19.py,1.0,['6'],['6'],[1]
code_58.py,0.0,['6'],[''],[0]
code_78.py,0.0,['6'],[''],[0]
code_29.py,0.0,['6'],['1.0'],[0]
code_39.py,1.0,['6'],['6'],[1]
code_68.py,0.0,['6'],['25'],[0]
code_79.py,0.0,['6'],['5'],[0]
code_28.py,0.0,['6'],['15'],[0]
code_38.py,0.0,['6'],['4'],[0]
code_69.py,0.0,['6'],[''],[0]
code_49.py,0.0,['6'],[''],[0]
code_18.py,0.0,['6'],[''],[0]
code_59.py,0.0,['6'],['1'],[0]
code_27.py,1.0,['6'],['6'],[1]
code_76.py,0.0,['6'],['9'],[0]
code_85.py,0.0,['6'],['17'],[0]
code_42.py,0.0,['6'],['2'],[0]
code_13.py,0.0,['6'],[''],[0]
code_4.py,0.0,['6'],[''],[0]
code_52.py,0.0,['6'],['7'],[0]
code_95.py,1.0,['6'],['6'],[1]
code_66.py,0.0,['6'],['49'],[0]
code_37.py,0.0,['6'],[''],[0]
code_17.py,0.0,['6'],[''],[0]
code_46.py,0.0,['6'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_72.py,0.0,['6'],['6.886056647693163'],[0]
code_23.py,0.0,['6'],['537836257310'],[0]
code_81.py,0.0,['6'],['4'],[0]
code_91.py,0.0,['6'],['10'],[0]
code_33.py,0.0,['6'],['25'],[0]
code_62.py,0.0,['6'],['1'],[0]
code_56.py,0.0,['6'],['2'],[0]
code_0.py,0.0,['6'],['8'],[0]
code_16.py,0.0,['6'],['801'],[0]
code_47.py,0.0,['6'],[''],[0]
code_73.py,1.0,['6'],['6'],[1]
code_22.py,0.0,['6'],['23'],[0]
code_80.py,0.0,['6'],['85'],[0]
code_90.py,0.0,['6'],['1'],[0]
code_32.py,1.0,['6'],['6'],[1]
code_63.py,0.0,['6'],[''],[0]
code_57.py,1.0,['6'],['6'],[1]
code_1.py,0.0,['6'],[''],[0]
code_26.py,1.0,['6'],['6'],[1]
code_77.py,1.0,['6'],['6'],[1]
code_84.py,0.0,['6'],[''],[0]
code_43.py,1.0,['6'],['6'],[1]
code_12.py,0.0,['6'],['13'],[0]
code_5.py,1.0,['6'],['6'],[1]
code_53.py,0.0,['6'],['152'],[0]
code_94.py,0.0,['6'],['100.9'],[0]
code_67.py,1.0,['6'],['6'],[1]
code_36.py,0.0,['6'],['222'],[0]
code_44.py,0.0,['6'],['9'],[0]
code_15.py,0.0,['6'],['8'],[0]
code_83.py,0.0,['6'],[''],[0]
code_21.py,0.0,['6'],['5'],[0]
code_70.py,0.0,['6'],['25'],[0]
code_60.py,0.0,['6'],[''],[0]
code_31.py,1.0,['6'],['6'],[1]
code_93.py,0.0,['6'],['4'],[0]
code_2.py,0.0,['6'],['6.5'],[0]
code_54.py,0.0,['6'],[''],[0]
code_87.py,0.0,['6'],[''],[0]
code_74.py,0.0,['6'],['25'],[0]
code_25.py,0.0,['6'],['111'],[0]
code_11.py,0.0,['6'],['10000'],[0]
code_40.py,0.0,['6'],[''],[0]
code_50.py,0.0,['6'],[''],[0]
code_6.py,0.0,['6'],['25'],[0]
code_35.py,0.0,['6'],[''],[0]
code_64.py,0.0,['6'],['-2'],[0]
code_86.py,0.0,['6'],['5'],[0]
code_75.py,0.0,['6'],['19'],[0]
code_24.py,1.0,['6'],['6'],[1]
code_10.py,0.0,['6'],[''],[0]
code_41.py,0.0,['6'],['25'],[0]
code_51.py,0.0,['6'],['18'],[0]
code_7.py,0.0,['6'],['2'],[0]
code_34.py,0.0,['6'],[''],[0]
code_65.py,0.0,['6'],[''],[0]
code_45.py,1.0,['6'],['6'],[1]
code_14.py,0.0,['6'],['50000'],[0]
code_82.py,1.0,['6'],['6'],[1]
code_20.py,1.0,['6'],['6'],[1]
code_71.py,1.0,['6'],['6'],[1]
code_61.py,0.0,['6'],['16'],[0]
code_30.py,0.0,['6'],[''],[0]
code_92.py,0.0,['6'],['3'],[0]
code_3.py,1.0,['6'],['6'],[1]
code_55.py,0.0,['6'],['-16'],[0]
code_89.py,0.0,['6'],['0'],[0]
code_8.py,0.0,['6'],[''],[0]
code_88.py,1.0,['6'],['6'],[1]
code_9.py,0.0,['6'],['3'],[0]
