File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['4', '7', '2', '20', '53', '13', '6', '15', '4', '18', '16', '16', '2', '6', '20']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,[],[],[]
code_28.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['3', '3', '2', '4', '2', '2', '2', '2', '3', '3', '2', '2', '2', '2', '4']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_49.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_18.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '2', '1', '4', '3', '1', '1', '3', '2', '2', '3', '3', '1', '1', '4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_59.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_17.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['999999986', '999999986', '999999993', '999999979', '999999993', '999999993', '999999993', '999999993', '999999986', '999999986', '999999993', '999999993', '999999993', '999999993', '999999979']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '0', '', '', '', '', '', '', '', '', '', '0', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.4,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['3', '8', '1', '23', '79', '22', '5', '17', '3', '23', '23', '23', '1', '5', '23']","[1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
code_0.py,0.0,[],[],[]
code_16.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['3', '4', '2', '32', '2', '14', '4', '11', '3', '18', '44', '44', '2', '4', '32']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_47.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '1', '1', '104', '1224', '65', '9', '54', '0', '119', '77', '77', '1', '9', '104']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_32.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_57.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_26.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_43.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_53.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['3', '0', '2', '0', '0', '0', '0', '0', '3', '0', '0', '0', '2', '0', '0']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_36.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '7', '', '', '', '', '', '', '', '', '', '7', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_44.py,0.0,[],[],[]
code_15.py,0.0,[],[],[]
code_21.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '1', '0', '15', '80', '12', '0', '16', '1', '14', '11', '11', '0', '0', '15']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_31.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '2', '1', '4', '3', '1', '1', '3', '2', '2', '3', '3', '1', '1', '4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_2.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_54.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['4', '24', '2', '32768', '898961331', '4096', '32', '2048', '4', '65536', '8192', '8192', '2', '32', '32768']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_25.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_11.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_40.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '4', '1', '120', '69902', '49', '1', '60', '2', '76', '97', '97', '1', '1', '120']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_50.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '18', '', '742828634', '39898250', '447732', '1646105', '5732881', '', '88466339', '7620015', '7620015', '', '1646105', '742828634']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_6.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_35.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_24.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_10.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '3', '1', '13', '44', '6', '3', '13', '2', '12', '13', '13', '1', '3', '13']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_41.py,0.4,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['3', '8', '1', '23', '79', '22', '5', '17', '3', '23', '23', '23', '1', '5', '23']","[1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
code_51.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '10', '0', '105', '1225', '66', '10', '55', '1', '120', '78', '78', '0', '10', '105']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_34.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
