File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.25,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nNO\nNO\nNO\nNO\nNO\nYES', 'YES', 'NO', 'YES']","[0, 0, 1, 0]"
code_19.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_58.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_29.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_39.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO\nNO']","[0, 0, 0, 0]"
code_68.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_28.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_38.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nNO', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_69.py,0.0,[],[],[]
code_49.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
