File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['845313583', '921731065', '4', '92174769', '902456821', '138663125', '827201306', '903682593', '929205314', '487370169', '420767005', '121209778', '483531763', '475614207', '173728809']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['893447246', '955307049', '10360014', '878311615', '906343139', '946340472', '108534321', '276811737', '556628965', '719929709', '314226385', '518198613', '181262759', '710491446', '291172062']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1706', '1765', '216', '1228', '633', '1902', '1886', '1471', '42', '55', '674', '1609', '435', '1152', '1543']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1117', '1038', '3', '1316', '1827', '1612', '1729', '854', '1677', '48', '742', '774', '1302', '1824', '1794']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
