File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,['1 1 1'],['2 1 2'],[0]
code_18.py,0.0,['1 1 1'],[''],[0]
code_13.py,0.0,['1 1 1'],['0\n1\n2'],[0]
code_4.py,0.0,['1 1 1'],['0\n1\n1'],[0]
code_17.py,0.0,['1 1 1'],[''],[0]
code_23.py,0.0,['1 1 1'],[''],[0]
code_0.py,0.0,['1 1 1'],['1 2 1'],[0]
code_16.py,0.0,['1 1 1'],[''],[0]
code_22.py,0.0,['1 1 1'],[''],[0]
code_1.py,0.0,['1 1 1'],['0\n1\n2'],[0]
code_12.py,0.0,['1 1 1'],['0\n1\n1'],[0]
code_5.py,0.0,['1 1 1'],['1 2 1'],[0]
code_15.py,0.0,['1 1 1'],['0'],[0]
code_21.py,0.0,['1 1 1'],[''],[0]
code_2.py,0.0,['1 1 1'],['2'],[0]
code_11.py,1.0,['1 1 1'],['1 1 1'],[1]
code_6.py,0.0,['1 1 1'],['3'],[0]
code_24.py,0.0,['1 1 1'],['1 2 3'],[0]
code_10.py,0.0,['1 1 1'],['0\n1\n2'],[0]
code_7.py,0.0,['1 1 1'],['1\n2\n1'],[0]
code_14.py,0.0,['1 1 1'],[''],[0]
code_20.py,0.0,['1 1 1'],['1 2 3'],[0]
code_3.py,0.0,['1 1 1'],['0 1 2 3'],[0]
code_8.py,0.0,['1 1 1'],['0\n0\n2'],[0]
code_9.py,0.0,['1 1 1'],['1\n2\n3'],[0]
