File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['20', '4', '33', '11', '0', '1', '1', '22', '4', '11', '50', '3', '18', '20', '7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['0', '0', '1', '0', '', '', '', '0', '1', '0', '0', '', '1', '1', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['5', '7', '6', '2', '5', '7', '7', '10', '5', '4', '7', '10', '4', '9', '7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '21', '5', '25', '41', '28', '17', '50', '3', '40', '32', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['1', '51', '73', '7', '', '', '', '50', '24', '2', '46', '', '44', '38', '69']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '21', '5', '25', '41', '28', '17', '50', '3', '40', '32', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '0', '0', '0', '41', '28', '17', '50', '0', '40', '32', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['-9', '37', '-19', '-9', '21', '5', '25', '-3', '20', '-5', '-50', '3', '4', '-8', '17']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '21', '5', '25', '41', '28', '17', '50', '3', '40', '32', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_32.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_36.py,0.06666666666666667,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_15.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '94', '', '42', '10', '', '82', '56', '', '100', '', '80', '64', '62']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_21.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '0', '', '', '', '', '', '', '0', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_31.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_25.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_11.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['55', '115', '79', '15', '55', '13', '67', '67', '70', '39', '52', '7', '92', '48', '85']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_40.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['22', '30', '31', '10', '14', '3', '17', '30', '19', '13', '32', '2', '28', '24', '20']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_6.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['-1', '11', '7', '1', '5', '5', '7', '-17', '2', '-3', '2', '3', '-6', '-12', '-5']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_35.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['13', '36', '17', '2', '47', '23', '49', '14', '22', '12', '2', '50', '27', '9', '28']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_24.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_10.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '21', '5', '25', '41', '29', '17', '51', '3', '41', '33', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['31', '45', '47', '13', '21', '5', '25', '41', '28', '17', '50', '3', '40', '32', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_34.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_14.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['13', '45', '23', '1', '', '', '', '20', '22', '12', '2', '', '27', '15', '28']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_20.py,0.06666666666666667,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['0', '0', '86', '0', '0', '9', '46', '0', '52', '0', '0', '5', '84', '59', '0']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
