File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.26666666666666666,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['9', '4', '4', '0', '3202', '0', '1', '2', '2', '1', '0', '3', '3', '2', '4']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
code_19.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['6', '5', '5', '1', '100', '2', '2', '3', '3', '3', '3', '3', '4', '4', '4']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-13', '0', '-1', '0', '-103307', '1', '-1', '-1', '-2', '1', '3', '-4', '-3', '0', '-3']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_28.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '10', '10', '0', '4950', '1', '1', '3', '3', '3', '3', '3', '6', '6', '6']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '9', '9', '1', '3302', '2', '3', '5', '5', '4', '3', '6', '7', '6', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-3', '-1', '-1', 'inf', '-30', '1', '0', '-1', '0', '-1', '-1', '0', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
code_18.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['3', '3', '3', '1', '49', '1', '2', '2', '2', '2', '1', '3', '2', '1', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_42.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['13', '11', '12', '0', '4292', '2', '1', '3', '4', '4', '5', '3', '8', '8', '6']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.26666666666666666,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['9', '4', '4', '0', '3202', '0', '1', '2', '2', '1', '0', '3', '3', '2', '4']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
code_4.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.26666666666666666,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-2', '-1', '-2', 'inf', '-49', '0', '0', '-1', '0', '-1', '-1', '0', '-1', '0', '-1']","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
code_37.py,0.4666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-1', '-2', '-2', '0', '-1649', '0', '0', '0', '0', '0', '-1', '0', '0', '-1', '0']","[0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]"
code_17.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-2', '-1', '-1', '-1', '-1', '-1', '-2', '-2', '-2', '-1', '-1', '-3', '-2', '-2', '-2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.3333333333333333,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['6', '6', '6', '0', '1748', '1', '0', '1', '1', '2', '3', '0', '3', '4', '2']","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
code_23.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_0.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '9', '9', '1', '3302', '2', '3', '5', '5', '4', '3', '6', '7', '6', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.26666666666666666,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['20', '10', '10', '0', '161700', '0', '0', '1', '1', '1', '1', '1', '4', '4', '4']","[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
code_47.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_32.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_1.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '9', '9', '1', '3302', '2', '3', '5', '5', '4', '3', '6', '7', '6', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['18', '13', '13', '1', '4999', '2', '3', '5', '5', '5', '4', '6', '8', '7', '9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_43.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['30', '19', '19', '1', '8252', '3', '4', '8', '8', '7', '6', '9', '13', '12', '14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_5.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '9', '9', '1', '3302', '2', '3', '5', '5', '4', '3', '6', '7', '6', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_36.py,0.13333333333333333,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-8', '-3', '-3', '1', '-3201', '1', '0', '-1', '-1', '0', '1', '-2', '-2', '-1', '-3']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
code_44.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-5', '-3', '-3', '-1', '-96', '-1', '-2', '-3', '-2', '-2', '-1', '-3', '-2', '-3', '-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_15.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
code_21.py,0.3333333333333333,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['6', '6', '6', '0', '1748', '1', '0', '1', '1', '2', '3', '0', '3', '4', '2']","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
code_31.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-9', '-4', '-4', '0', '-3202', '0', '-1', '-2', '-2', '-1', '0', '-3', '-3', '-2', '-4']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_2.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '1', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_25.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_11.py,0.4,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['3', '4', '4', '0', '1697', '0', '0', '0', '0', '1', '1', '0', '1', '1', '1']","[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
code_40.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-14', '-8', '-8', '0', '-3301', '-1', '-2', '-4', '-4', '-3', '-2', '-5', '-6', '-5', '-7']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_50.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['1', '1', '1', 'inf', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
code_6.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['15', '9', '9', '1', '3302', '2', '3', '5', '5', '4', '3', '6', '7', '6', '8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_35.py,0.13333333333333333,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['29', '14', '14', '0', '164902', '0', '1', '3', '3', '2', '1', '4', '7', '6', '8']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_24.py,0.26666666666666666,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-9', '-5', '-5', '1', '-4850', '1', '1', '0', '0', '0', '0', '0', '-2', '-2', '-2']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
code_10.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-6', '-6', '-6', '0', '-1748', '-1', '0', '-1', '-1', '-2', '-3', '0', '-3', '-4', '-2']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
