File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_0.py,1.0,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[1, 1, 1, 1, 1]"
code_1.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n2\n0\n0', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_5.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_2.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_6.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_10.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_7.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_3.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_8.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['1\n1\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
code_9.py,0.8,"['1\n2\n0\n1', '0', '0\n0\n0', '0\n0\n0', '0']","['3\n4\n1\n1', '0', '0\n0\n0', '0\n0\n0', '0']","[0, 1, 1, 1, 1]"
