File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['-16', '-17', '-9', '-160', '-13', '-19', '-23', '-17', '-11', '-182', '-23', '-17', '-11', '-24', '-22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['3', '15', '1', '98', '-4', '1', '4', '1', '-8', '251', '-2', '10', '2', '0', '-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
