File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,['1\n3\n6'],[''],[0]
code_29.py,0.0,['1\n3\n6'],[''],[0]
code_39.py,0.0,['1\n3\n6'],[''],[0]
code_28.py,0.0,['1\n3\n6'],[''],[0]
code_38.py,0.0,['1\n3\n6'],[''],[0]
code_18.py,0.0,['1\n3\n6'],[''],[0]
code_27.py,0.0,['1\n3\n6'],['8\n12\n15'],[0]
code_42.py,0.0,['1\n3\n6'],['1\n3\n18'],[0]
code_13.py,0.0,['1\n3\n6'],[''],[0]
code_4.py,0.0,['1\n3\n6'],['0\n0\n3'],[0]
code_37.py,0.0,['1\n3\n6'],[''],[0]
code_17.py,0.0,['1\n3\n6'],['1\n1\n0'],[0]
code_23.py,0.0,['1\n3\n6'],['0\n4\n4'],[0]
code_33.py,0.0,['1\n3\n6'],['1\n8\n18'],[0]
code_0.py,0.0,['1\n3\n6'],['1\n20\n21'],[0]
code_16.py,0.0,['1\n3\n6'],[''],[0]
code_22.py,0.0,['1\n3\n6'],[''],[0]
code_32.py,0.0,['1\n3\n6'],['0\n2\n6'],[0]
code_1.py,0.0,['1\n3\n6'],['0\n0\n2'],[0]
code_26.py,0.0,['1\n3\n6'],['1\n8\n4'],[0]
code_43.py,0.0,['1\n3\n6'],['0\n0\n6'],[0]
code_12.py,0.0,['1\n3\n6'],[''],[0]
code_5.py,0.0,['1\n3\n6'],['1\n0\n0'],[0]
code_36.py,0.0,['1\n3\n6'],[''],[0]
code_15.py,0.0,['1\n3\n6'],['0\n0\n0'],[0]
code_21.py,0.0,['1\n3\n6'],[''],[0]
code_31.py,0.0,['1\n3\n6'],[''],[0]
code_2.py,0.0,['1\n3\n6'],['1\n1\n1'],[0]
code_25.py,0.0,['1\n3\n6'],['24\n99999986\n8'],[0]
code_11.py,0.0,['1\n3\n6'],['0\n2\n3'],[0]
code_40.py,0.0,['1\n3\n6'],['8\n4\n2'],[0]
code_6.py,0.0,['1\n3\n6'],[''],[0]
code_35.py,0.0,['1\n3\n6'],['1'],[0]
code_24.py,0.0,['1\n3\n6'],['1\n16\n27'],[0]
code_10.py,0.0,['1\n3\n6'],['8\n8\n4'],[0]
code_41.py,0.0,['1\n3\n6'],[''],[0]
code_7.py,0.0,['1\n3\n6'],[''],[0]
code_34.py,0.0,['1\n3\n6'],[''],[0]
code_14.py,0.0,['1\n3\n6'],['7\n9\n11'],[0]
code_20.py,0.0,['1\n3\n6'],[''],[0]
code_30.py,0.0,['1\n3\n6'],['7\n8\n4'],[0]
code_3.py,0.0,['1\n3\n6'],['100000006\n100000006\n100000006'],[0]
code_8.py,0.0,['1\n3\n6'],['1\n0\n0'],[0]
code_9.py,0.0,['1\n3\n6'],['1\n9\n5'],[0]
