File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,1.0,['2'],['2'],[1]
code_19.py,1.0,['2'],['2'],[1]
code_58.py,1.0,['2'],['2'],[1]
code_78.py,1.0,['2'],['2'],[1]
code_29.py,1.0,['2'],['2'],[1]
code_39.py,1.0,['2'],['2'],[1]
code_68.py,1.0,['2'],['2'],[1]
code_79.py,0.0,['2'],['1'],[0]
code_28.py,0.0,['2'],[''],[0]
code_38.py,1.0,['2'],['2'],[1]
code_69.py,1.0,['2'],['2'],[1]
code_49.py,0.0,['2'],[''],[0]
code_18.py,1.0,['2'],['2'],[1]
code_59.py,1.0,['2'],['2'],[1]
code_27.py,0.0,['2'],['0'],[0]
code_76.py,1.0,['2'],['2'],[1]
code_85.py,1.0,['2'],['2'],[1]
code_42.py,1.0,['2'],['2'],[1]
code_13.py,0.0,['2'],[''],[0]
code_4.py,1.0,['2'],['2'],[1]
code_52.py,0.0,['2'],['3'],[0]
code_66.py,1.0,['2'],['2'],[1]
code_37.py,1.0,['2'],['2'],[1]
code_17.py,1.0,['2'],['2'],[1]
code_46.py,1.0,['2'],['2'],[1]
code_72.py,1.0,['2'],['2'],[1]
code_23.py,1.0,['2'],['2'],[1]
code_81.py,0.0,['2'],['1'],[0]
code_33.py,1.0,['2'],['2'],[1]
code_62.py,1.0,['2'],['2'],[1]
code_56.py,0.0,['2'],['1'],[0]
code_0.py,1.0,['2'],['2'],[1]
code_16.py,1.0,['2'],['2'],[1]
code_47.py,1.0,['2'],['2'],[1]
code_73.py,0.0,['2'],[''],[0]
code_22.py,1.0,['2'],['2'],[1]
code_80.py,1.0,['2'],['2'],[1]
code_32.py,1.0,['2'],['2'],[1]
code_63.py,1.0,['2'],['2'],[1]
code_57.py,1.0,['2'],['2'],[1]
code_1.py,0.0,['2'],['1'],[0]
code_26.py,1.0,['2'],['2'],[1]
code_77.py,1.0,['2'],['2'],[1]
code_84.py,0.0,['2'],[''],[0]
code_43.py,0.0,['2'],[''],[0]
code_12.py,1.0,['2'],['2'],[1]
code_5.py,1.0,['2'],['2'],[1]
code_53.py,0.0,['2'],['1'],[0]
code_67.py,1.0,['2'],['2'],[1]
code_36.py,1.0,['2'],['2'],[1]
code_44.py,1.0,['2'],['2'],[1]
code_15.py,0.0,['2'],['1'],[0]
code_83.py,1.0,['2'],['2'],[1]
code_21.py,0.0,['2'],['30'],[0]
code_70.py,0.0,['2'],['3'],[0]
code_60.py,1.0,['2'],['2'],[1]
code_31.py,1.0,['2'],['2'],[1]
code_2.py,0.0,['2'],[''],[0]
code_54.py,0.0,['2'],[''],[0]
code_74.py,1.0,['2'],['2'],[1]
code_25.py,1.0,['2'],['2'],[1]
code_11.py,1.0,['2'],['2'],[1]
code_40.py,1.0,['2'],['2'],[1]
code_50.py,1.0,['2'],['2'],[1]
code_6.py,1.0,['2'],['2'],[1]
code_35.py,0.0,['2'],[''],[0]
code_64.py,1.0,['2'],['2'],[1]
code_86.py,0.0,['2'],[''],[0]
code_75.py,1.0,['2'],['2'],[1]
code_24.py,0.0,['2'],[''],[0]
code_10.py,0.0,['2'],['0'],[0]
code_41.py,1.0,['2'],['2'],[1]
code_51.py,1.0,['2'],['2'],[1]
code_7.py,0.0,['2'],[''],[0]
code_34.py,0.0,['2'],[''],[0]
code_65.py,0.0,['2'],[''],[0]
code_45.py,0.0,['2'],[''],[0]
code_14.py,0.0,['2'],[''],[0]
code_82.py,1.0,['2'],['2'],[1]
code_20.py,1.0,['2'],['2'],[1]
code_71.py,1.0,['2'],['2'],[1]
code_61.py,0.0,['2'],[''],[0]
code_30.py,1.0,['2'],['2'],[1]
code_3.py,1.0,['2'],['2'],[1]
code_55.py,1.0,['2'],['2'],[1]
code_8.py,1.0,['2'],['2'],[1]
code_9.py,1.0,['2'],['2'],[1]
