File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_0.py,0.8,"['NO', 'YES', 'NO', 'YES', 'NO']","['YES', 'YES', 'NO', 'YES', 'NO']","[0, 1, 1, 1, 1]"
code_1.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_5.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_2.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_6.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_10.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_7.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_3.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_8.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
code_9.py,1.0,"['NO', 'YES', 'NO', 'YES', 'NO']","['NO', 'YES', 'NO', 'YES', 'NO']","[1, 1, 1, 1, 1]"
