File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","[""YES\n(1, 'L')\n(2, 'L')\n(4, 'L')\n(5, 'L')"", ""YES\n(1, 'L')\n(2, 'L')\n(3, 'L')\n(4, 'L')"", ""YES\n(1, 'L')\n(4, 'L')"", ""YES\n(3, 'L')\n(4, 'L')"", ""YES\n(3, 'L')""]","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 R\n1 R\n2 R\n2 R', 'YES\n1 R\n1 R\n1 R\n1 R', 'YES\n1 R\n3 R', 'YES\n3 R\n3 R', 'YES\n3 R']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n3 L\n2 R\n3 R\n2 R', 'YES\n10 L\n9 L\n8 L\n7 L\n6 R\n5 R\n4 R\n3 R\n2 R', 'YES\n3 L\n2 R', 'YES\n2 L', 'YES']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 L\n2 L\n3 L\n1 L\n2 L\n3 L', 'YES\n1 L\n2 L\n3 L\n4 L\n5 L', 'YES\n1 L\n2 L\n1 L\n1 L\n2 L', 'YES\n1 L\n1 L\n1 L\n2 L\n3 L', 'YES\n1 L\n1 L\n1 L\n2 L\n1 L']","[0, 0, 0, 0, 0]"
code_2.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n3 L\n2 L\n3 L\n2 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'YES\n2 L\n2 L', 'YES\n3 L\n2 L', 'YES\n2 L']","[0, 1, 0, 0, 0]"
code_6.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n3 R\n2 L\n1 L\n5 R\n4 L\n3 L\n2 L\n1 L', 'YES\n5 R\n4 L\n3 L\n2 L\n1 L', 'YES\n2 R\n1 L\n2 R\n1 L\n3 R\n2 L\n1 L', 'YES\n1 R\n1 R\n3 R\n2 L\n1 L', 'YES\n1 R\n1 R\n2 R\n1 L\n2 R\n1 L']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 R\n1 L\n1 L\n2 L\n2 L', 'YES\n1 R\n1 R\n1 R\n1 R', 'YES\n1 R\n3 R\n3 L\n3 L', 'YES\n3 R\n3 L', 'YES\n3 L']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 R\n1 L\n3 L\n4 L', 'YES\n1 R\n1 L\n2 L\n3 L', 'YES\n1 L\n4 L', 'YES\n3 R\n3 L', 'YES\n3 L']","[0, 0, 0, 0, 0]"
code_8.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n3 L\n2 R\n3 R\n2 L', 'YES\n5 L\n4 L\n3 R\n2 L', 'NO', 'YES\n3 L\n2 R', 'YES\n2 R']","[0, 0, 1, 0, 0]"
code_9.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n2 L\n1 L\n5 L\n4 L', 'YES\n4 L\n3 L\n2 L\n1 L', 'YES\n1 L\n4 L', 'YES\n4 L\n3 L', 'YES\n3 L']","[0, 0, 0, 0, 0]"
