File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '0', '7', '0', '0', '2', '', '8', '14']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.26666666666666666,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['1', '2', '4', '0', '3', '8', '8', '4', '5', '2', '2', '3', '19', '5', '5']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
code_78.py,0.26666666666666666,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['1', '2', '4', '0', '3', '8', '8', '4', '5', '2', '2', '3', '19', '5', '5']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
code_29.py,0.2,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '0', '', '0', '', '', '', '4', '', '2', '3', '', '', '', '']","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.3333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['0', '0', '0', '0', '0', '1', '4', '4', '1', '1', '1', '0', '4', '0', '0']","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]"
code_79.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['3', '2', '4', '0', '5', '9', '8', '4', '9', '2', '3', '3', '19', '9', '11']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['2', '3', '4.0', '1', '2', '10.0', '24.0', '5', '8.0', '4.0', '3', '2', '10', '5.0', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_85.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['3', '3', '14', '1', '16', '31', '14', '5', '18', '3', '3', '8', '40', '20', '48']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['2', '', '', '0', '', '', '', '2', '2', '2', '2', '2', '', '2', '2']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['-2', '-3', '0', '-1', '499999996', '37', '605932', '-5', '-4', '-3', '-3', '18', '4999999980', '-2', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['1', '', '', '', '', '', '', '0', '0', '0', '0', '', '', '0', '1']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '1', '1', '', '0', '', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_81.py,0.26666666666666666,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['1', '2', '2', '0', '3', '14', '8', '4', '11', '2', '2', '2', '18', '10', '10']","[1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['2', '3', '5', '1', '4', '9', '9', '5', '6', '3', '3', '4', '20', '6', '6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_47.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_73.py,0.2,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['2', '1', '4', '0', '4', '7', '3', '1', '6', '1', '1', '2', '2', '6', '6']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
code_22.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
