File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['3'],['4'],[0]
code_19.py,0.0,['3'],['4'],[0]
code_29.py,1.0,['3'],['3'],[1]
code_39.py,0.0,['3'],['4'],[0]
code_28.py,0.0,['3'],[''],[0]
code_38.py,1.0,['3'],['3'],[1]
code_18.py,1.0,['3'],['3'],[1]
code_27.py,1.0,['3'],['3'],[1]
code_42.py,1.0,['3'],['3'],[1]
code_13.py,0.0,['3'],[''],[0]
code_4.py,0.0,['3'],[''],[0]
code_37.py,1.0,['3'],['3'],[1]
code_17.py,0.0,['3'],['1'],[0]
code_46.py,1.0,['3'],['3'],[1]
code_23.py,0.0,['3'],[''],[0]
code_33.py,1.0,['3'],['3'],[1]
code_0.py,0.0,['3'],[''],[0]
code_16.py,1.0,['3'],['3'],[1]
code_47.py,0.0,['3'],[''],[0]
code_22.py,1.0,['3'],['3'],[1]
code_32.py,1.0,['3'],['3'],[1]
code_1.py,1.0,['3'],['3'],[1]
code_26.py,0.0,['3'],['Creating dynamic programming array...\n3'],[0]
code_43.py,1.0,['3'],['3'],[1]
code_12.py,0.0,['3'],[''],[0]
code_5.py,0.0,['3'],[''],[0]
code_36.py,1.0,['3'],['3'],[1]
code_44.py,1.0,['3'],['3'],[1]
code_15.py,1.0,['3'],['3'],[1]
code_21.py,0.0,['3'],[''],[0]
code_31.py,1.0,['3'],['3'],[1]
code_2.py,0.0,['3'],['1'],[0]
code_25.py,0.0,['3'],[''],[0]
code_11.py,0.0,['3'],['2'],[0]
code_40.py,1.0,['3'],['3'],[1]
code_6.py,0.0,['3'],['1'],[0]
code_35.py,1.0,['3'],['3'],[1]
code_24.py,0.0,['3'],[''],[0]
code_10.py,1.0,['3'],['3'],[1]
code_41.py,1.0,['3'],['3'],[1]
code_7.py,1.0,['3'],['3'],[1]
code_34.py,1.0,['3'],['3'],[1]
code_45.py,0.0,['3'],[''],[0]
code_14.py,1.0,['3'],['3'],[1]
code_20.py,1.0,['3'],['3'],[1]
code_30.py,0.0,['3'],[''],[0]
code_3.py,0.0,['3'],['inf'],[0]
code_8.py,1.0,['3'],['3'],[1]
code_9.py,0.0,['3'],[''],[0]
