File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['0', '0', '0', '1', '1']","['-2', '-1', '-1', '-2', '-2']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['0', '0', '0', '1', '1']","['1', '1', '1', '3', '2']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['0', '0', '0', '1', '1']","['-2', '-1', '-1', '0', '-1']","[0, 0, 0, 0, 0]"
code_5.py,1.0,"['0', '0', '0', '1', '1']","['0', '0', '0', '1', '1']","[1, 1, 1, 1, 1]"
code_2.py,0.4,"['0', '0', '0', '1', '1']","['2', '3', '0', '2', '1']","[0, 0, 1, 0, 1]"
code_6.py,0.0,"['0', '0', '0', '1', '1']","['1', '1', '1', '3', '2']","[0, 0, 0, 0, 0]"
code_10.py,1.0,"['0', '0', '0', '1', '1']","['0', '0', '0', '1', '1']","[1, 1, 1, 1, 1]"
code_7.py,0.0,"['0', '0', '0', '1', '1']","['1', '3', '1', '4', '2']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['0', '0', '0', '1', '1']","['1', '3', '1', '4', '2']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['0', '0', '0', '1', '1']","['1', '3', '1', '4', '2']","[0, 0, 0, 0, 0]"
code_9.py,0.2,"['0', '0', '0', '1', '1']","['0', '1', '1', '3', '0']","[1, 0, 0, 0, 0]"
