File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_0.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_1.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_5.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_2.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_11.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_6.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_10.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_7.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_3.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_8.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_9.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
