File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_6.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_3.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_8.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_9.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
