File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['42', '2', '19', '1', '-1', '4', '8', '3', '3', '2', '2', '5', '5', '36', '21']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.4,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['10', '-1', '-1', '0', '-1', '1', '-1', '1', '0', '-1', '-1', '3', '3', '7', '5']","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_58.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['48', '-1', '-1', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '37', '66']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_78.py,1.0,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_29.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['1', '-1', '-1', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '1', '1']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_39.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '-1', '-1', '0', '-1', '2', '-1', '1', '0', '-1', '-1', '3', '3', '8', '14']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_68.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['1', '-1', '-1', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '1', '1']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_79.py,0.7333333333333333,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '0', '7', '0', '0', '4', '4', '0', '0', '9', '15']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]"
code_28.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '-1', '-1', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '8', '14']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_38.py,0.13333333333333333,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '2', '11', '1', '-1', '4', '5', '3', '3', '2', '2', '5', '3', '8', '14']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_69.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['1', '2', '9', '0', '-1', '0', '2', '0', '0', '2', '2', '0', '0', '1', '1']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_49.py,0.7333333333333333,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '0', '7', '0', '0', '4', '4', '0', '0', '9', '15']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]"
code_18.py,0.13333333333333333,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '2', '11', '1', '-1', '4', '5', '3', '3', '2', '2', '5', '3', '8', '14']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_59.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['61', '-1', '-1', '0', '-1', '2', '-1', '1', '0', '-1', '-1', '3', '3', '28', '51']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_27.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['13', '-1', '-1', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '7', '13']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
