File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.32954545454545453,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
code_18.py,0.32954545454545453,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
code_13.py,0.18181818181818182,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['2', '1', '1', '1', '2', '2', '2', '1', '2', '3', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '2', '2', '2', '1', '2', '2', '2', '2', '1', '1', '3', '1', '1', '3', '2', '1', '2', '2', '3', '1', '3', '1', '1', '3', '3', '1', '3', '1', '1', '3', '3', '1', '3', '1', '1', '2', '2', '3', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '1', '1', '2', '1', '1', '1', '2']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_4.py,0.125,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
code_17.py,0.45454545454545453,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['3', '0', '0', '0', '3', '1', '3', '0', '1', '4', '1', '3', '0', '3', '2', '1', '3', '0', '1', '1', '3', '3', '1', '2', '2', '3', '3', '1', '2', '1', '4', '0', '1', '4', '2', '3', '2', '3', '3', '1', '4', '0', '1', '3', '2', '1', '4', '0', '1', '3', '3', '1', '4', '0', '1', '3', '2', '4', '0', '1', '3', '2', '0', '1', '4', '3', '0', '1', '3', '2', '0', '1', '3', '2', '0', '1', '3', '3', '0', '1', '4', '0', '2', '4', '0', '1', '3', '2']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0]"
code_0.py,0.32954545454545453,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
code_16.py,0.2159090909090909,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['0', '0', '0', '0', '7', '3', '0', '0', '3', '4', '6', '4', '0', '5', '6', '3', '0', '0', '3', '3', '0', '9', '3', '6', '0', '0', '5', '3', '6', '3', '0', '0', '3', '4', '9', '6', '0', '0', '7', '3', '0', '0', '3', '8', '7', '3', '0', '0', '3', '8', '7', '3', '0', '0', '3', '9', '8', '0', '0', '3', '9', '8', '0', '3', '9', '9', '0', '3', '9', '9', '0', '3', '9', '9', '0', '3', '9', '9', '0', '3', '9', '0', '3', '9', '0', '3', '0', '1']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
code_1.py,0.20454545454545456,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['6', '0', '0', '0', '10', '4', '6', '0', '4', '6', '6', '6', '0', '10', '6', '3', '6', '0', '4', '3', '6', '10', '4', '6', '3', '6', '10', '4', '6', '3', '6', '0', '3', '6', '10', '6', '3', '6', '10', '3', '6', '0', '3', '10', '10', '3', '6', '0', '3', '10', '10', '3', '6', '0', '3', '10', '10', '6', '0', '3', '10', '10', '0', '3', '10', '10', '0', '3', '10', '10', '0', '3', '10', '10', '0', '3', '10', '10', '0', '3', '10', '0', '3', '10', '0', '3', '6', '3']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
code_12.py,0.18181818181818182,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['2', '1', '1', '1', '2', '2', '2', '1', '2', '3', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '2', '2', '2', '1', '2', '2', '2', '2', '1', '1', '3', '1', '1', '3', '2', '1', '2', '2', '3', '1', '3', '1', '1', '3', '3', '1', '3', '1', '1', '3', '3', '1', '3', '1', '1', '2', '2', '3', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '1', '1', '2', '1', '1', '1', '2']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_5.py,0.09090909090909091,"['4', '0', '0', '0', '4', '2', '4', '0', '2', '5', '1', '3', '0', '4', '2', '0', '4', '0', '2', '0', '4', '4', '2', '2', '2', '4', '4', '2', '2', '0', '5', '0', '0', '5', '4', '2', '2', '4', '4', '1', '4', '0', '0', '4', '4', '1', '5', '0', '0', '5', '3', '1', '5', '0', '0', '4', '1', '5', '0', '1', '4', '1', '0', '1', '4', '3', '0', '1', '4', '4', '0', '0', '4', '3', '0', '0', '3', '3', '0', '0', '4', '0', '0', '5', '0', '1', '3', '1']","['4', '1', '1', '1', '8', '4', '4', '1', '4', '3', '6', '4', '1', '8', '5', '3', '4', '1', '4', '3', '4', '8', '4', '5', '2', '4', '8', '4', '5', '3', '3', '1', '3', '3', '9', '4', '2', '4', '8', '3', '3', '1', '3', '8', '9', '3', '3', '1', '3', '8', '8', '3', '3', '1', '3', '8', '9', '3', '1', '3', '8', '9', '1', '3', '7', '8', '1', '3', '8', '9', '1', '3', '8', '9', '1', '3', '8', '8', '1', '3', '7', '1', '2', '7', '1', '3', '4', '2']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
