File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['2\n5\n7\n1\n1\n0\n4\n0\n200000\n7976'],[0]
code_19.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n8\n2\n2\n2\n0\n12\n0\n30000000001\n662882004'],[0]
code_58.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['-27\n-23\n-22\n-20\n-10\n-6\n-16\n-3\n-29999699994\n-3010087366'],[0]
code_29.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_39.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['13\n34\n62\n23\n23\n0\n47\n2\n60000000000\n26826952686'],[0]
code_28.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['30\n49\n55\n30\n14\n3\n1\n1\n30000600003\n47239849822'],[0]
code_38.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_49.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n20\n56\n15\n30\n0\n110\n3\n59999400000\n3405935469'],[0]
code_18.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['46\n241\n497\n120\n120\n4\n286\n2\n160000000000\n78948034028'],[0]
code_59.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['7\n35\n64\n23\n25\n0\n30\n2\n59999999997\n16423374050'],[0]
code_27.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_42.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n10\n1\n0\ninf\n0\ninf\ninf\n20000400002\ninf'],[0]
code_13.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['11\n29\n68\n16\n16\n2\n31\n4\n600000\n673624'],[0]
code_4.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['4\n18\n-7\n4\n3\n1\n-7\n-1\n20000200000\n-1292747'],[0]
code_52.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_37.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_17.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_46.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n-2\n-31\n0\n0\n0\n-9\n-5\n40000000000\n-52503066003'],[0]
code_23.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_33.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_62.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_56.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['2\n14\n8\n2\n1\n0\n19\n0\n37500100000\n7171492209'],[0]
code_0.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf\n10\ninf\n80\ninf\n120\ninf\n9\ninf\n9'],[0]
code_16.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0'],[0]
code_47.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_22.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['15\n54\n112\n40\n40\n2\n81\n2\n80000000000\n20073840709'],[0]
code_32.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['30\n64\n91\n41\n32\n3\n86\n3\n60000600000\n50314568686'],[0]
code_63.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n9\n-2\n1\n0\n0\n-8\n-1\n30000199999\n636072138'],[0]
code_57.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_1.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
