File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.1,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['11010', '1110010', '0', '10110', '10111', '11011', '11000', '10000', '10110', '10111']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.1,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['11010', '1110010', '0', '10110', '10111', '11011', '11000', '10000', '10110', '10111']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['1101', '111001', '', '1101', '1111', '1111', '1100', '1000', '1101', '1111']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,1.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_49.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
