File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.6666666666666666,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '256 382', '6304 6304', '0 104066', 'INTERNAL ERROR OR TIMEOUT', '-1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
code_29.py,0.4,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '-1', '-1', '0 104066', 'INTERNAL ERROR OR TIMEOUT', '-1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '17445 1007551', '-1', '-1', '17 125', '-1', '16 126']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
code_28.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.6666666666666666,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '256 382', '6304 6304', '0 104066', 'INTERNAL ERROR OR TIMEOUT', '-1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
code_27.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.4,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '-1', '-1', '0 104066', 'INTERNAL ERROR OR TIMEOUT', '-1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '17445 1007551', '-1', '-1', '17 125', '-1', '16 126']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
code_4.py,0.06666666666666667,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0 104066', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.13333333333333333,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['-1', '-1', '-1', '-1', '52033 52033', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
code_17.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.06666666666666667,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['-1', '-1', '126 512', '12544 12608', '104066 0', '-1', '886 767', '-1', '243548819 1627258880', '977770 47230', '-1', '140 142', '-1', '71 1568', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_33.py,0.13333333333333333,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
