File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.13636363636363635,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['914213126', '694848220', '210008626', '669023927', '100172904', '419188951', '30556511', '611475798', '113296233', '148176000', '991432940', '203386330', '1', '296866082', '487888376', '120', '2625', '30', '935816567', '489267530', '689062084', '709782301']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['667556976', '501', '616118644', '914200929', '616118643', '578355634', '568092245', '125251', '409855421', '54', '87', '314668349', '2', '364656193', '673294301', '6', '16', '8', '3136', '869666111', '164753727', '730767397']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,[],[],[]
code_27.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['667556976', '501', '616118644', '914200929', '616118643', '578355634', '568092245', '125251', '409855421', '54', '87', '314668349', '2', '364656193', '673294301', '6', '16', '8', '3136', '869666111', '164753727', '730767397']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.045454545454545456,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['190399993', '1', '320244258', '853309184', '320243758', '188566381', '563733380', '915319940', '369009821', '865', '1415', '155621027', '1', '413906', '497578092', '1', '35', '6', '14045703', '681345221', '567296138', '169617519']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['605590008', '690185032', '0', '594141343', '998244352', '759547711', '997233372', '665451911', '958554461', '998244277', '998244346', '679199948', '0', '555949925', '545398625', '998244338', '0', '998244350', '998170905', '855120451', '748950584', '552571474']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,[],[],[]
