File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,['2\n12\n36'],['1\n8\n27'],[0]
code_29.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_28.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_38.py,0.0,['2\n12\n36'],['1\n10\n45'],[0]
code_18.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_27.py,0.0,['2\n12\n36'],['0\n4\n18'],[0]
code_13.py,0.0,['2\n12\n36'],['36'],[0]
code_4.py,0.0,['2\n12\n36'],['1\n4\n8'],[0]
code_37.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_17.py,0.0,['2\n12\n36'],['1\n8\n27'],[0]
code_23.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_33.py,0.0,['2\n12\n36'],[''],[0]
code_0.py,0.0,['2\n12\n36'],[''],[0]
code_16.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_22.py,0.0,['2\n12\n36'],['Total diamonds: 36'],[0]
code_32.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_1.py,0.0,['2\n12\n36'],['1\n2\n5'],[0]
code_26.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_12.py,0.0,['2\n12\n36'],[''],[0]
code_5.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_36.py,0.0,['2\n12\n36'],[''],[0]
code_15.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_21.py,0.0,['2\n12\n36'],['10'],[0]
code_31.py,0.0,['2\n12\n36'],['1\n10\n45'],[0]
code_2.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_25.py,0.0,['2\n12\n36'],['1\n9\n36'],[0]
code_11.py,0.0,['2\n12\n36'],['1\n5\n15'],[0]
code_6.py,0.0,['2\n12\n36'],['1\n4\n10'],[0]
code_35.py,0.0,['2\n12\n36'],['1\n3\n6\n0'],[0]
code_24.py,0.0,['2\n12\n36'],['1\n10\n45'],[0]
code_10.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_7.py,0.0,['2\n12\n36'],['1\n4\n9'],[0]
code_34.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_14.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_20.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_30.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_3.py,0.0,['2\n12\n36'],[''],[0]
code_8.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_9.py,0.0,['2\n12\n36'],['36'],[0]
