File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '18\n18', '18\n18', '18\n18', '', '18\n2', '', '18\n21', '', '', '18\n21', '', '18\n2', '18\n1', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14\n9\n100\n6', '9\n9', '9\n9', '7\n9', '14\n9\n100\n18', '7\n1', '14\n9\n100\n21', '9\n9', '14\n12\n100\n6', '14\n9\n130\n21', '9\n12', '14\n12\n100\n6', '7\n5', '7\n5', '14\n8\n100\n6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14', '', '', '', '14', '', '14', '', '14', '14', '', '14', '', '', '14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14\n17\n140\n45', '17\n17', '17\n17', '16\n17', '14\n17\n140\n16', '16\n5', '14\n17\n140\n19', '17\n22', '14\n22\n140\n45', '14\n17\n170\n19', '17\n25', '14\n22\n140\n48', '16\n5', '16\n5', '14\n18\n140\n48']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['15\n15\n150\n62', '15\n15', '15\n15', '13\n15', '15\n15\n150\n81', '13\n28', '15\n15\n150\n79', '15\n18', '15\n18\n150\n62', '15\n15\n180\n79', '15\n21', '15\n18\n150\n65', '14\n22', '12\n25', '15\n14\n150\n65']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['10\n10\n100\n40', '10\n10', '10\n10', '8\n10', '10\n10\n100\n10', '8\n1', '10\n10\n100\n10', '10\n12', '10\n11\n100\n40', '10\n10\n110\n10', '10\n14', '10\n11\n100\n40', '9\n0', '7\n0', '10\n7\n100\n40']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['15\n15\n150\n62', '15\n15', '15\n15', '13\n15', '15\n15\n150\n62', '13\n15', '15\n15\n150\n60', '15\n18', '15\n18\n150\n62', '15\n15\n180\n60', '15\n21', '15\n18\n150\n65', '14\n12', '12\n13', '15\n14\n150\n65']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['13\n13\n100\n59', '13\n13', '13\n13', '11\n13', '13\n13\n100\n59', '11\n1', '13\n13\n100\n57', '13\n16', '13\n16\n100\n59', '13\n13\n130\n57', '13\n19', '13\n16\n100\n62', '12\n1', '11\n0', '13\n12\n100\n62']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14\n14\n140\n56', '14\n14', '14\n14', '12\n14', '14\n14\n140\n32', '12\n6', '14\n14\n140\n27', '14\n17', '14\n17\n140\n56', '14\n14\n170\n27', '14\n20', '14\n17\n140\n59', '12\n6', '11\n5', '14\n13\n140\n59']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['5\n9\n150\n29', '9\n9', '9\n9', '7\n9', '5\n9\n150\n20', '7\n6', '5\n9\n150\n23', '9\n10', '5\n12\n150\n29', '5\n9\n180\n23', '9\n13', '5\n12\n150\n32', '7\n5', '7\n5', '5\n10\n150\n32']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['1\n5', '5\n5', '5\n5', '3\n5', '1\n5', '3\n1', '1\n5', '5\n5', '1\n8', '1\n5', '5\n8', '1\n8', '4\n1', '3\n0', '1\n8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14\n14\n140\n45', '14\n14', '14\n14', '12\n14', '14\n14\n140\n64', '12\n14', '14\n14\n140\n62', '14\n17', '14\n17\n140\n45', '14\n14\n170\n62', '14\n20', '14\n17\n140\n48', '12\n11', '11\n13', '14\n13\n140\n48']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['12\n15\n140\n43', '15\n15', '15\n15', '15\n15', '12\n15\n140\n23', '15\n2', '12\n15\n140\n26', '15\n18', '12\n15\n140\n43', '12\n15\n170\n26', '15\n18', '12\n15\n140\n46', '15\n2', '14\n1', '12\n7\n140\n46']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['5\n6\n70\n10', '6\n6', '6\n6', '6\n6', '5\n6\n70\n10', '6\n6', '5\n6\n70\n13', '6\n6', '5\n9\n70\n10', '5\n6\n100\n13', '6\n12', '5\n9\n70\n17', '7\n1', '6\n0', '5\n4\n70\n17']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['0\n5\n130\n23', '5\n5', '5\n5', '3\n5', '0\n5\n130\n23', '3\n5', '0\n5\n130\n23', '5\n5', '0\n8\n130\n23', '0\n5\n160\n23', '5\n8', '0\n8\n130\n23', '4\n0', '3\n0', '0\n8\n130\n23']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['0\n0\n0\n0', '0\n0', '0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0', '0\n0\n0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_47.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['0\n15\n240\n82', '15\n15', '15\n15', '13\n15', '0\n15\n240\n82', '13\n15', '0\n15\n240\n83', '15\n18', '0\n18\n240\n82', '0\n15\n300\n83', '15\n21', '0\n18\n240\n85', '14\n0', '12\n0', '0\n14\n240\n85']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_32.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_63.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_57.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
