File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['2304', '1680', '6', '2', '19200']","['120', '60', '1', '1', '3780']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['2304', '1680', '6', '2', '19200']","['5040', '720', '2', '1', '362880']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['2304', '1680', '6', '2', '19200']","['840', '360', '2', '1', '34020']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['2304', '1680', '6', '2', '19200']","['662525270', '653612374', '166374059', '499122177', '731006021']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_7.py,0.2,"['2304', '1680', '6', '2', '19200']","['2', '2', '2', '2', '2']","[0, 0, 0, 1, 0]"
code_3.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['2304', '1680', '6', '2', '19200']","['120', '60', '1', '1', '3780']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['2304', '1680', '6', '2', '19200']","['280970794', '820085465', '499122177', '1', '391902307']","[0, 0, 0, 0, 0]"
