File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_19.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_58.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_29.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_39.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_68.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_28.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_38.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_69.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_49.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_18.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_59.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_27.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_42.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_13.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_4.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_52.py,0.0,['84\n'],[None],['Wrong Answer']
code_66.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_37.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_17.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_46.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_72.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_23.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_33.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_62.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_56.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_0.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_16.py,0.0,['84\n'],[None],['Wrong Answer']
code_47.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_73.py,0.0,['84\n'],[None],['Wrong Answer']
code_22.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_32.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_63.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_57.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_1.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_26.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_43.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_12.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_5.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_53.py,0.0,[],[],[]
code_67.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_36.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_44.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_15.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_21.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_70.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_60.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_31.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_2.py,0.0,[],[],[]
code_54.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_74.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_25.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_11.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_40.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_50.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_6.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_35.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_64.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_24.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_10.py,0.0,['84\n'],[None],['Wrong Answer']
code_41.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_51.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_7.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_34.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_65.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_45.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_14.py,0.0,['84\n'],[None],['Wrong Answer']
code_20.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_71.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_61.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_30.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_3.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_55.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_8.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
code_9.py,0.0,['84\n'],[None],['Runtime Error (NZEC)']
