File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,[],[],[]
code_19.py,0.0,[],[],[]
code_113.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_103.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_117.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis', 'Ellipsis']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_107.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,[],[],[]
code_68.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,[],[],[]
code_28.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_122.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_116.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_106.py,0.0,"['274251678', '1000000000', '24135010', '937577799', '1', '0', '15329026', '141314244', '335285903', '1000000000', '206837932', '1000000006', '36877759', '160643716', '619309304']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
