File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['2.5\n0.25\n0.025', '2.5\n0.25\n0.00025', '2.5\n0.25\n2.5e-05', '2.5\n2.5\n2.5e-05', '2.5\n0.25\n2.5e-10', '2.5\n2.5\n2.5e-10', '2.5\n25.0\n2.5e-10', '2.5\n25.0\n2.5e-08', '2.5\n25.0\n2.5e-15', '25.0\n25.0\n2.5e-15', '25.0\n25.0\n2.5e-31', '2.5\n0.25\n0.0025', '2.5\n0.25\n25.0', '2.5\n0.25\n2.5e-06', '25.0\n2.5\n2.5e-05']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['1.1111111111111112\n0.020202020202020204\n0.0003003003003003003', '1.1111111111111112\n0.020202020202020204\n5.000050000500005e-08', '1.1111111111111112\n0.020202020202020204\n6.000006000006e-10', '1.1111111111111112\n1.1111111111111112\n6.000006000006e-10', '1.1111111111111112\n0.020202020202020204\n1.100000000011e-19', '1.1111111111111112\n1.1111111111111112\n1.100000000011e-19', '1.1111111111111112', '1.1111111111111112', '1.1111111111111112', '', '', '1.1111111111111112\n0.020202020202020204\n4.0004000400040005e-06', '1.1111111111111112\n0.020202020202020204', '1.1111111111111112\n0.020202020202020204\n7.00000070000007e-12', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000', '0.450000\n0.450000\n0.450000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['', '', '', '0.2', '', '0.2', '0.0', '0.0', '0.0', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['1.0', '1.6666666666666667', '2.3333333333333335', '2.0', '5.666666666666667', '5.333333333333333', '5.333333333333333', '4.0', '8.666666666666666', '8.666666666666666', '19.333333333333332', '1.3333333333333333', '0.3333333333333333', '3.0', '2.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.9 1.3 1.6666666666666667', '0.9 1.3 2.3', '0.9 1.3 2.566666666666667', '0.9 0.9 2.566666666666667', '0.9 1.3 3.4', '0.9 0.9 3.4', '0.9', '0.9', '0.9', '', '', '0.9 1.3 2.0', '0.9 1.3', '0.9 1.3 2.8', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['4.5\n0.45\n0.045', '4.5\n0.45\n0.00045', '4.5\n0.45\n4.5e-05', '4.5\n4.5\n4.5e-05', '4.5\n0.45\n4.5e-10', '4.5\n4.5\n4.5e-10', '4.5\n45.0\n4.5e-10', '4.5\n45.0\n4.5e-08', '4.5\n45.0\n4.5e-15', '45.0\n45.0\n4.5e-15', '45.0\n45.0\n4.5e-31', '4.5\n0.45\n0.0045', '4.5\n0.45\n45.0', '4.5\n0.45\n4.5e-06', '45.0\n4.5\n4.5e-05']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
