File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['8', '124.0', '4.625', '6', '0']","[0, 0, 0, 0, 1]"
code_0.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['1', '49', '1', '0', '0']","[0, 0, 0, 0, 1]"
code_1.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['7', '50', '3', '7', '1']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['7', '75', '3', '7', '1']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['', '', '', '', '1']","[0, 0, 0, 0, 0]"
code_6.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['1', '49', '1', '0', '0']","[0, 0, 0, 0, 1]"
code_10.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 1]"
code_7.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['3', '50', '2', '0', '0']","[0, 0, 0, 0, 1]"
code_3.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['7', '99', '3', '7', '1']","[0, 0, 0, 0, 0]"
code_8.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 1]"
code_9.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['', '0', '0', '', '0']","[0, 0, 0, 0, 1]"
