File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['3:1 75-94 75-69 50-44 25-19', '3:0 75-20 50-20 25-20', '3:0 76-24 51-24 26-24', '3:0 75-70 50-45 25-20', 'Impossible\nImpossible\nImpossible\nImpossible\n3:0 78-50 53-50 28-25\n3:1 80-100 80-75 55-50 30-25']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['3:1 (75,94) (75,69) (50,44) (25,19)', '3:0 (75,20) (50,20) (25,20)', '3:0 (76,24) (51,24) (26,24)', '3:0 (75,70) (50,45) (25,20)', 'Impossible\nImpossible\nImpossible\nImpossible\n3:0 (78,50) (53,50) (28,25)\n3:1 (80,100) (80,75) (55,50) (30,25)']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['1:3 75:0 0:0 0:0 0:0', 'Impossible', 'Impossible', '1:3 75:0 0:0 0:0 0:0', 'Impossible\n1:3 90:0 0:0 0:0 0:0\nImpossible\n0:3 0:0 0:0 0:0\n1:3 78:0 0:0 0:0 0:0\n1:3 80:0 0:0 0:0 0:0']","[0, 0, 0, 0, 0]"
