File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['42', '137641', '400', '117034', '759', '396', '31', '42', '8880', '120890', '2170', '19304', '2847', '855', '96', '138756', '1', '4', '64064', '704', '30', '123984', '160000', '504', '68598', '400', '789', '157200', '13448', '210', '158000', '10804', '138', '8', '103208', '9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['4096', '670233272', '545460282', '114966662', '191006845', '535265813', '150994942', '4096', '566371728', '924940450', '537692343', '521588420', '537143534', '466025955', '209715183', '370644411', '2', '8', '481931520', '527847872', '75497471', '299771973', '80721227', '32990492', '704627253', '545460282', '145142697', '413966187', '580117523', '838860732', '657620395', '978853743', '288489165', '32', '235113474', '32']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_4.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['585103145', '917253156', '545460282', '721915223', '759620784', '423240006', '150994942', '585103145', '930370169', '350870628', '978175774', '403301053', '174279296', '948285826', '407190198', '390933760', '2', '16', '359933756', '949971237', '75497471', '993006112', '681370191', '487149416', '468685088', '545460282', '344502963', '126249037', '98888455', '993020123', '416385538', '881954019', '288489165', '2048', '897691820', '16384']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_37.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
