File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['4', '6', '6', '5', '8', '10', '20', '30', '9', '4', '4', '10', '6', '6', '6']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.06666666666666667,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['3', '7', '10', '6', '0', '8', '70', '2999999997', '3204', '2', '2000000000', '5000000000', '3000000000', '2000000000', '3000000000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_38.py,0.06666666666666667,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '10', '6', '14', '4', '30', '0', '1944', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.4,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['2', '4', '5', '3', '14', '14', '30', '1999999998', '1716', '0', '1000000000', '4000000000', '2000000000', '1000000000', '2000000000']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
code_59.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['-3', '-5', '-10', '-6', '-14', '-22', '-37', '-2999999997', '-1944', '-2', '-2000000000', '-5000000000', '-3000000000', '-2000000000', '-3000000000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.2,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['3', '2', '10', '6', '0', '2', '0', '1999999998', '456', '-1', '2000000000', '2000000000', '2000000000', '2000000000', '2000000000']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
code_4.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_62.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
