File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['16', '4', '6', '6', '25', '2500', '6', '1', '25', '6', '9', '9', '6', '1', '6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['4', '24', '12', '24', '4', '4', '24', '4', '180', '40', '60', '60', '24', '4', '24']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '72', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.2,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['6', '6', '9', '9', '15', '6', '9', '2', '18', '8', '10', '10', '9', '2', '9']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
