File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,1.0,"['878114651', '303640045', '871940006', '163454404', '0']","['878114651', '303640045', '871940006', '163454404', '0']","[1, 1, 1, 1, 1]"
code_0.py,0.6,"['878114651', '303640045', '871940006', '163454404', '0']","['878114651', '128834652', '871940006', '641800951', '0']","[1, 0, 1, 0, 1]"
code_1.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['958201119', '636370723', '435970003', '478346547', '0']","[0, 0, 0, 0, 1]"
code_5.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 1]"
code_2.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_6.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['945014678', '111191626', '672635974', '374899819', '0']","[0, 0, 0, 0, 1]"
code_10.py,0.4,"['878114651', '303640045', '871940006', '163454404', '0']","['368981666', '74011696', '871940006', '422027991', '0']","[0, 0, 1, 0, 1]"
code_7.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['', '', '', '853322015', '998244347']","[0, 0, 0, 0, 0]"
code_3.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['945014678', '111191626', '672635974', '374899819', '0']","[0, 0, 0, 0, 1]"
code_8.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['945014678', '111191626', '672635974', '161566613', '56']","[0, 0, 0, 0, 0]"
code_9.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['945014678', '111191626', '672635974', '289952741', '0']","[0, 0, 0, 0, 1]"
