File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['8', '48', '1280', 'INTERNAL ERROR OR TIMEOUT', '8960', '2', '224', '71424', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '71424']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['96', '320', '2688', '783332330', '7168', '24', '960', '18432', '3440640', '226598155', '477624036', '435494562', '227063383', '324361205', '18432']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0', '0', '1', '', '3', '1', '0', '11', '116943', '533602640', '294429383', '', '', '', '11']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
