File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['Expected shuffles for n=1: 0\nExpected shuffles for n=2: 1\nExpected shuffles for n=3: 1/6\nExpected shuffles for n=4: 1/24\nExpected shuffles for n=5: 1/120\nExpected shuffles for n=6: 1/720\nExpected shuffles for n=7: 1/5040\nExpected shuffles for n=8: 1/40320\nExpected shuffles for n=9: 1/362880', 'Expected shuffles for n=1: 0\nExpected shuffles for n=2: 1\nExpected shuffles for n=3: 1/6\nExpected shuffles for n=4: 1/24\nExpected shuffles for n=5: 1/120\nExpected shuffles for n=6: 1/720\nExpected shuffles for n=7: 1/5040\nExpected shuffles for n=8: 1/40320\nExpected shuffles for n=9: 1/362880', 'Expected shuffles for n=1: 0\nExpected shuffles for n=2: 1\nExpected shuffles for n=3: 1/6\nExpected shuffles for n=4: 1/24\nExpected shuffles for n=5: 1/120\nExpected shuffles for n=6: 1/720\nExpected shuffles for n=7: 1/5040\nExpected shuffles for n=8: 1/40320\nExpected shuffles for n=9: 1/362880', 'Expected shuffles for n=1: 0\nExpected shuffles for n=2: 1\nExpected shuffles for n=3: 1/6\nExpected shuffles for n=4: 1/24\nExpected shuffles for n=5: 1/120\nExpected shuffles for n=6: 1/720\nExpected shuffles for n=7: 1/5040\nExpected shuffles for n=8: 1/40320\nExpected shuffles for n=9: 1/362880', 'Expected shuffles for n=1: 0\nExpected shuffles for n=2: 1\nExpected shuffles for n=3: 1/6\nExpected shuffles for n=4: 1/24\nExpected shuffles for n=5: 1/120\nExpected shuffles for n=6: 1/720\nExpected shuffles for n=7: 1/5040\nExpected shuffles for n=8: 1/40320\nExpected shuffles for n=9: 1/362880']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['2/1\n720/1\n3628800/1', '2/1\n24/1\n3628800/1', '2/1\n720/1\n479001600/1', '24/1\n720/1\n479001600/1', '24/1\n720/1\n121645100408832000/1']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['3/2\n1237/720\n6235301/3628800', '3/2\n41/24\n6235301/3628800', '3/2\n1237/720\n164611949/95800320', '41/24\n1237/720\n164611949/95800320', '41/24\n1237/720\n52255141388393/30411275102208']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1']","[0, 0, 0, 0, 0]"
code_11.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/2\n1/6\n1/10', '1/2\n1/4\n1/10', '1/2\n1/6\n1/12', '1/4\n1/6\n1/12', '1/4\n1/6\n1/19']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/2\n1/720\n0/1', '1/2\n1/24\n0/1', '1/2\n1/720\n0/1', '1/24\n1/720\n0/1', '1/24\n1/720\n0/1']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['3/1\n1764/1\n10628640/1', '3/1\n50/1\n10628640/1', '3/1\n1764/1\n1486442880/1', '50/1\n1764/1\n1486442880/1', '50/1\n1764/1\n431565146817638400/1']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['2/1', '2/1', '2/1', '', '']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['2/1\n60/1\n2520/1', '2/1\n12/1\n2520/1', '2/1\n60/1\n27720/1', '12/1\n60/1\n27720/1', '12/1\n60/1\n232792560/1']","[0, 0, 0, 0, 0]"
