File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['24010000.0\n-924986620800.0', '28047600.0\n-924986620800.0', '28047600.0\n-3424608000.0', '28047600.0\n-3424608000.0', '30360096.0\n-3424608000.0', '73958976.0\n-3424608000.0', '73958976.0\n-3424608000.0', '73958976.0\n-3424608000.0', '73958976.0\n-3493792000.0', '73958976.0\n-4223683200.0', '73958976.0\n-4223683200.0', '24010000.0\n-924986620800.0', '28047600.0\n0.0', '28047600.0\n-2109888000.0', '28047600.0\n-541728000.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['0.6666666666666666\n0.05', '0.6666666666666666\n0.05', '0.6666666666666666\n0.05', '0.6666666666666666\n9.92063492063492e-06', '0.6666666666666666\n9.92063492063492e-06', '0.6666666666666666\n9.92063492063492e-06', '0.005555555555555556\n5.7812557812557815e-09', '9.92063492063492e-05\n9.92063492063492e-05', '1.1022927689594355e-06\n9.92063492063492e-05', '1.1022927689594357e-05\n0.0008928571428571428', '1.1022927689594357e-05\n18.0', '0.6666666666666666\n9.92063492063492e-06', '0.6666666666666666\n0.05', '0.6666666666666666\n0.05', '0.6666666666666666\n0.05']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['0.086950', '0.093906', '0.006345', '0.006345', '0.006599', '0.010265', '0.010265', '0.010265', '0.010367', '0.011394', '0.011394', '0.086950', '0.000000', '0.004995', '0.002565']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['51.0\n22090148.0', '55.0\n22090148.0', '55.0\n22090148.0', '55.0\n22090148.0', '55.0\n22090148.0', '85.0\n22090148.0', '85.0\n22090148.0', '85.0\n22090148.0', '85.0\n22534158.0', '85.0\n27217248.0', '85.0\n27217248.0', '51.0\n22090148.0', '55.0\n48.0', '55.0\n13690138.0', '55.0\n3610120.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0', '1.0\n1.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['50.000000', '54.000000', '54.000000', '54.000000', '54.000000', '84.000000', '84.000000', '84.000000', '84.000000', '84.000000', '84.000000', '50.000000', '54.000000', '54.000000', '54.000000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
