File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['12\n18\n9310', '610185726\n151393854\n529318963\n42961', '610185726\n151393854\n529318963\n42961', '48348612', '940564185', '910846244', '821692481', '610185726\n415443259\n529318963\n42961', '635031025', '270061155', '905091724', '610185726\n151393854\n593034694\n42961', '12\n18\n9310', '545957006', '610185726\n415443259\n678605846\n42961']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '3', '3', '0', '0', '0', '0', '3', '0', '0', '0', '3', '', '0', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['0\n3', '0\n0\n0\n0', '0\n0\n0\n0', '0', '0', '0', '0', '0\n0\n0\n0', '0', '0', '0', '0\n0\n0\n0', '0\n3', '0', '0\n0\n0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '', '', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['6\n9\n7642', '0\n0\n572939774\n0', '0\n0\n572939774\n0', '6', '419161684', '628742526', '257485045', '0\n0\n572939774\n0', '216283033', '432566066', '648849099', '0\n0\n640538019\n0', '6\n9\n5822', '893926441', '0\n0\n82372719\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
