File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_0.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_1.py,0.0,"['6', '18', '38', '68', '110']","['inf', 'inf', 'inf', 'inf', 'inf']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['6', '18', '38', '68', '110']","['0', '6', '18', '38', '68']","[0, 0, 0, 0, 0]"
code_2.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_11.py,0.0,"['6', '18', '38', '68', '110']","['0', '6', '18', '38', '68']","[0, 0, 0, 0, 0]"
code_6.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_10.py,0.0,"['6', '18', '38', '68', '110']","['0', '6', '18', '38', '68']","[0, 0, 0, 0, 0]"
code_7.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_3.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_8.py,1.0,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1, 1, 1, 1, 1]"
code_9.py,0.2,"['6', '18', '38', '68', '110']","['6', 'inf', '81', 'inf', '326']","[1, 0, 0, 0, 0]"
