File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.03865979381443299', '0.1623740201567749', '0.12839761843127104', '1.7741935483870968', '0.15669515669515668', '25.0', '0.10135135135135136', '0.525', '0.525', '0.02127659574468085', '1.0975609756097562', '0.10135135135135136', '0.0', '0.3333333333333333', '0.3862465919418358']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-0.3608247422680413', '0.3829787234042553', '0.3196997152472172', '-1.5161290322580645', '0.7407407407407407', '', '-9.405405405405405', '-0.6499999999999999', '-0.6499999999999999', '0.5721299976619125', '', '-9.405405405405405', '', '1.0', '0.5825507421993336']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.0', '0.0', '0.0', '0.3225806451612903', '0.0', '1.0', '0.0', '4.614472708464732e-301', '4.614472708464732e-301', '0.0', '0.0', '0.0', '1.0', '0.3333333333333333', '0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.9999999999149622', '1.0', '1.0', '0.9998703002929688', '0.9998407363891602', '1.0', '1.0', '0.998046875', '0.998046875', '0.9999999999999999', '0.998046875', '1.0', '1.0', '1.0', '1.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.9561855670103093', '0.15640164240388205', '0.7556303391146777', '0.6451612903225806', '0.7692307692307693', '2.0', '0.9864864864864865', '0.75', '0.75', '0.7832592938975917', '1.2195121951219512', '0.9864864864864865', '2.0', '0.6666666666666666', '0.5680096940321114']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.01288659793814433', '0.010824934677118328', '0.00802485115195444', '0.3225806451612903', '0.02849002849002849', '1.0', '0.033783783783783786', '0.15', '0.15', '0.00303951367781155', '0.21951219512195122', '0.033783783783783786', '-1', '-1', '0.015146925174189639']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.01288659793814433', '0.010824934677118328', '0.00802485115195444', '0.3225806451612903', '0.02849002849002849', '1.0', '0.033783783783783786', '0.15', '0.15', '0.00303951367781155', '0.21951219512195122', '0.033783783783783786', '1.0', '0.3333333333333333', '0.015146925174189639']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
