File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.06666666666666667,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['1', '595', '-49', '92', '0', '86', '89', '-5', '-76', '4', '8', '14', '38', '88', '27']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['-1', '82.0', '45.0', '86', '0', '64.2439024390244', '86.0', '64.58208955223881', '7.851851851851852', '18.322580645161292', '7.333333333333333', '14.0', '64.2051282051282', '81.0', '45.63636363636363']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.06666666666666667,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '1120', '51', '57800', '1000', '243', '17318', '321', '260', '1315', '49', '31', '1550', '21836', '579']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.06666666666666667,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '385', '51', '57800', '1000', '243', '17318', '321', '62', '921', '25', '15', '931', '21836', '579']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '688', '51', '93', '1', '198', '96', '65', '16', '380', '8', '30', '0', '89', '58']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.06666666666666667,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '108', '0', '29', '1', '0', '96', '65', '24', '0', '8', '16', '0', '63', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_27.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['-2', '680', '-21', '92', '0', '153', '94', '58', '66', '747', '15', '20', '0', '88', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '610', '33', '9301', '100', '71', '5491', '259', '50', '1550', '85', '64', '1290', '3828', '532']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['0', '382', '17', '38', '1', '137', '58', '61', '20', '1', '10', '23', '0', '36', '47']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
