File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['210', '700', '490', '560', '510', '20', '20', '560', '490', '510', '440', '510', '210', '20', '560']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_19.py,0.13333333333333333,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['50\n50\n50', '50\n50\n50\n50\n120\n120\n120\n120\n120\n120', '120\n120\n120\n120\n120\n120\n120', '20\n50\n50\n50\n50\n50\n50\n50', '20\n50\n50\n50\n50\n50\n50\n50', '20', '20', '20\n50\n50\n50\n50\n50\n50\n50', '120\n120\n120\n120\n120\n120\n120', '20\n50\n50\n50\n50\n50\n50\n50', '20\n120\n120\n120\n120\n120\n120', '20\n50\n50\n50\n50\n50\n50\n50', '50\n50\n50', '50', '20\n50\n50\n50\n50\n50\n50\n50']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['150', '500', '350', '400', '400', '50', '50', '400', '350', '400', '350', '400', '150', '50', '400']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['70', '1525', '2935', '400', '400', '0', '0', '400', '2935', '400', '2935', '400', '70', '0', '400']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,[],[],[]
code_38.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['60', '260', '230', '160', '160', '20', '20', '160', '230', '160', '230', '160', '60', '20', '160']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_49.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['20\n20\n50', '20\n50\n50\n120\n120\n120\n120\n120\n120\n120', '120\n120\n120\n120\n120\n120\n120', '20\n20\n120\n120\n120\n120\n120\n120', '20\n20\n20\n20\n20\n20\n20\n20', '20', '20', '20\n20\n120\n120\n120\n120\n120\n120', '120\n120\n120\n120\n120\n120\n120', '20\n20\n20\n20\n20\n20\n20\n20', '20\n120\n120\n120\n120\n120\n120', '20\n20\n20\n20\n20\n20\n20\n20', '20\n20\n50', '20', '20\n20\n20\n120\n120\n120\n120\n120']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_18.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['20\n20\n20', '20\n20\n20\n20\n7\n-5\n-16\n-40\n14\n-246', '10\n-28\n-9\n-38\n-126\n-142\n-551', '20\n20\n20\n47\n41\n35\n30\n20', '20\n20\n20\n20\n20\n20\n20\n20', '20', '20', '20\n20\n20\n47\n41\n35\n30\n20', '10\n-28\n-9\n-38\n-126\n-142\n-551', '20\n20\n20\n20\n20\n20\n20\n20', '20\n-28\n-9\n-38\n-126\n-142\n-551', '20\n20\n20\n20\n20\n20\n20\n20', '20\n20\n20', '20', '20\n20\n20\n47\n41\n35\n30\n20']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_27.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['20\n40\n60', '20\n40\n60\n80\n100\n120\n140\n160\n210\n260', '50\n70\n120\n140\n160\n180\n230', '20\n40\n60\n80\n100\n120\n140\n160', '20\n40\n60\n80\n100\n120\n140\n160', '20', '20', '20\n40\n60\n80\n100\n120\n140\n160', '50\n70\n120\n140\n160\n180\n230', '20\n40\n60\n80\n100\n120\n140\n160', '20\n70\n120\n140\n160\n180\n230', '20\n40\n60\n80\n100\n120\n140\n160', '20\n40\n60', '20', '20\n40\n60\n80\n100\n120\n140\n160']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_42.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['20\n40\n60', '20\n40\n60\n80\n130\n180\n230\n280\n330\n380', '50\n100\n150\n200\n250\n300\n350', '20\n40\n60\n80\n100\n120\n140\n190', '20\n40\n60\n80\n100\n120\n140\n160', '20', '20', '20\n40\n60\n80\n100\n120\n140\n190', '50\n100\n150\n200\n250\n300\n350', '20\n40\n60\n80\n100\n120\n140\n160', '20\n70\n120\n170\n220\n270\n320', '20\n40\n60\n80\n100\n120\n140\n160', '20\n40\n60', '20', '20\n40\n60\n80\n100\n120\n140\n190']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
