File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_28.py,0.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_27.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_13.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_4.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_17.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_23.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_0.py,1.0,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_16.py,0.16393442622950818,"['124', '84', '9', '47', '8', '10', '0', '84', '5', '12', '2', '9', '0', '82', '10', '4', '90', '1', '96', '88', '83', '86', '99', '94', '81', '11', '80', '93', '124', '12', '84', '84', '9', '12', '9', '82', '10', '0', '0', '0', '90', '9', '9', '0', '9', '90', '4', '81', '94', '10', '9', '10', '0', '94', '0', '80', '12', '0', '0', '4', '2']","['62', '42', '4', '23', '4', '5', '0', '42', '2', '6', '1', '4', '0', '41', '5', '2', '45', '0', '48', '44', '41', '43', '49', '47', '40', '5', '40', '46', '62', '6', '42', '42', '4', '6', '4', '41', '5', '0', '0', '0', '45', '4', '4', '0', '4', '45', '2', '40', '47', '5', '4', '5', '0', '47', '0', '40', '6', '0', '0', '2', '1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
