File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['', '']","[0, 0]"
code_19.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['', '']","[0, 0]"
code_58.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[[\'S\', \' \', \'=\', \' \', \'""\', \'g\', \'e\', \'e\', \'k\', \'s\', \'""\'], [\'S\', \' \', \'=\', \' \', \'""\', \'g\', \'ee\', \'k\', \'s\', \'""\'], [\'S\', \' = \', \'""\', \'g\', \'e\', \'e\', \'k\', \'s\', \'""\'], [\'S\', \' = \', \'""\', \'g\', \'ee\', \'k\', \'s\', \'""\']]', '[[\'S\', \' \', \'=\', \' \', \'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\'], [\'S\', \' \', \'=\', \' \', \'""\', \'m\', \'ada\', \'m\', \'""\'], [\'S\', \' \', \'=\', \' \', \'""\', \'madam\', \'""\'], [\'S\', \' \', \'=\', \' \', \'""madam""\'], [\'S\', \' = \', \'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\'], [\'S\', \' = \', \'""\', \'m\', \'ada\', \'m\', \'""\'], [\'S\', \' = \', \'""\', \'madam\', \'""\'], [\'S\', \' = \', \'""madam""\']]']","[0, 0]"
code_78.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[]', '[]']","[0, 0]"
code_29.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[[\'S\'], [\' \'], [\'=\'], [\' \'], [\'""\'], [\'g\'], [\'e\'], [\'e\'], [\'k\'], [\'s\'], [\'""\'], [\'ee\'], [\' = \']]', '[[\'S\'], [\' \'], [\'=\'], [\' \'], [\'""\'], [\'m\'], [\'a\'], [\'d\'], [\'a\'], [\'m\'], [\'""\'], [\' = \'], [\'ada\'], [\'madam\'], [\'""madam""\', \'""\']]']","[0, 0]"
code_39.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['', '']","[0, 0]"
code_68.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['', '']","[0, 0]"
code_79.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[]', '[]']","[0, 0]"
code_28.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[\'""\', \'s\', \'k\', \'e\', \'e\', \'g\', \'""\', \' \', \'=\', \' \', \'S\']\n[\'""\', \'s\', \'k\', \'ee\', \'g\', \'""\', \' \', \'=\', \' \', \'S\']\n[\'""\', \'s\', \'k\', \'e\', \'e\', \'g\', \'""\', \' = \', \'S\']\n[\'""\', \'s\', \'k\', \'ee\', \'g\', \'""\', \' = \', \'S\']', '[\'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\', \' \', \'=\', \' \', \'S\']\n[\'""\', \'m\', \'ada\', \'m\', \'""\', \' \', \'=\', \' \', \'S\']\n[\'""\', \'madam\', \'""\', \' \', \'=\', \' \', \'S\']\n[\'""madam""\', \' \', \'=\', \' \', \'S\']\n[\'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\', \' = \', \'S\']\n[\'""\', \'m\', \'ada\', \'m\', \'""\', \' = \', \'S\']\n[\'""\', \'madam\', \'""\', \' = \', \'S\']\n[\'""madam""\', \' = \', \'S\']']","[0, 0]"
code_38.py,0.0,"['g e e k s\ng ee k s', 'm a d a m\nm ada m\nmadam']","['[\'S\', \' \', \'=\', \' \', \'""\', \'g\', \'e\', \'e\', \'k\', \'s\', \'""\']\n[\'S\', \' \', \'=\', \' \', \'""\', \'g\', \'ee\', \'k\', \'s\', \'""\']\n[\'S\', \' = \', \'""\', \'g\', \'e\', \'e\', \'k\', \'s\', \'""\']\n[\'S\', \' = \', \'""\', \'g\', \'ee\', \'k\', \'s\', \'""\']', '[\'S\', \' \', \'=\', \' \', \'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\']\n[\'S\', \' \', \'=\', \' \', \'""\', \'m\', \'ada\', \'m\', \'""\']\n[\'S\', \' \', \'=\', \' \', \'""\', \'madam\', \'""\']\n[\'S\', \' \', \'=\', \' \', \'""madam""\']\n[\'S\', \' = \', \'""\', \'m\', \'a\', \'d\', \'a\', \'m\', \'""\']\n[\'S\', \' = \', \'""\', \'m\', \'ada\', \'m\', \'""\']\n[\'S\', \' = \', \'""\', \'madam\', \'""\']\n[\'S\', \' = \', \'""madam""\']']","[0, 0]"
