File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['0\n3\n0', '0\n4\n6', '0\n1\n9', '', '', '0\n4\n96', '0\n1\n7', '0\n8\n2', '0\n3\n7', '0\n10\n0', '', '', '0\n1\n0', '0\n2\n5', '0\n6\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['0\n0\n3', '0\n0\n10', '0\n0\n10', '0\n0\n55', '0\n0\n99', '0\n0\n100', '0\n0\n8', '0\n0\n10', '0\n0\n10', '0\n0\n10', '0\n0\n100', '0\n0\n99', '0\n0\n1', '0\n0\n7', '0\n0\n7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['6\n3\n2', '55\n10\n2', '10\n1\n2', '1540\n55\n2', '4944\n96\n2', '5050\n100\n2', '36\n8\n2', '49\n8\n2', '32\n4\n2', '55\n10\n2', '4270\n74\n2', '2424\n53\n2', '1\n1\n2', '23\n6\n2', '28\n7\n2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '1\n26\n1', '1\n26\n1', '1\n26\n1', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '1\n26\n1', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807', '0\n0\n9223372036854775807']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['3\n2\n1', '45\n9\n1', '9\n1\n1', '1485\n54\n1', '4848\n96\n1', '4950\n99\n1', '28\n7\n1', '41\n7\n1', '28\n4\n1', '45\n9\n1', '4205\n74\n1', '2401\n53\n1', '0\n0\ninf', '21\n6\n1', '21\n6\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['(6, 3, 1)', '(55, 10, 1)', '(55, 10, 1)', '(1540, 55, 1)', '(4950, 99, 1)', '(5050, 100, 1)', '(36, 8, 1)', '(55, 10, 1)', '(55, 10, 1)', '(55, 10, 1)', '(5050, 100, 1)', '(4950, 99, 1)', '(1, 1, 1)', '(28, 7, 1)', '(28, 7, 1)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['1\n0\n3', '2\n0\n10', '55\n0\n10', '0\n0\n55', '10\n0\n99', '1529\n0\n100', '0\n0\n8', '1\n0\n10', '33\n0\n10', '1\n0\n10', '0\n0\n100', '96\n0\n99', '1\n0\n1', '0\n0\n7', '0\n0\n7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
